id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,gene
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,COX11_Heart_Atrial_Appendage,Wald ratio,1,-0.083857593,0.024473461,0.00061148,-0.131825576,-0.03588961,0.919562199,0.876493863,0.964746786,0.001451838,COX11
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,METTL10_Pancreas,Wald ratio,1,-0.032242298,0.013348722,0.015718602,-0.058405793,-0.006078803,0.968271944,0.943267099,0.993939636,0.032508057,METTL10
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,COX11_Artery_Tibial,Wald ratio,1,0.104479561,0.021308332,9.43E-07,0.062715231,0.146243891,1.110132704,1.064723596,1.157478452,4.72E-06,COX11
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,COX11_Nerve_Tibial,Wald ratio,1,0.090454602,0.017061796,1.15E-07,0.057013482,0.123895723,1.094671811,1.058670083,1.131897834,6.92E-07,COX11
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,ATG10_Artery_Coronary,Wald ratio,1,-0.068518472,0.010006755,7.53E-12,-0.088131711,-0.048905233,0.933776211,0.915640269,0.952271369,7.44E-11,ATG10
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Brain_Anterior_cingulate_cortex_BA24,Wald ratio,1,0.038517444,0.009541018,5.41E-05,0.019817048,0.057217839,1.039268857,1.020014709,1.058886452,0.000155442,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,P4HA2_Ovary,Wald ratio,1,0.090088461,0.018680551,1.42E-06,0.053474582,0.12670234,1.09427108,1.054930178,1.1350791,6.73E-06,P4HA2
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,SETD9_Whole_Blood,Wald ratio,1,-0.058725753,0.008033774,2.67E-13,-0.074471949,-0.042979557,0.942965339,0.928233511,0.957930973,4.21E-12,SETD9
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Cells_Cultured_fibroblasts,Wald ratio,1,0.050972449,0.012293355,3.38E-05,0.026877473,0.075067426,1.052293902,1.02724193,1.077956831,0.00011261,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Adipose_Visceral_Omentum,Wald ratio,1,0.036150206,0.008744298,3.56E-05,0.019011383,0.053289029,1.03681157,1.01919325,1.05473445,0.000115586,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,NSUN4_Adipose_Subcutaneous,Wald ratio,1,-0.169804316,0.037127632,4.80E-06,-0.242574474,-0.097034157,0.843829925,0.784605313,0.907525007,2.10E-05,NSUN4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,HELQ_Muscle_Skeletal,Wald ratio,1,-0.083221191,0.022310362,0.000191359,-0.126949501,-0.039492882,0.920147596,0.88077815,0.961276796,0.000514732,HELQ
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,P4HA2_Testis,Wald ratio,1,0.072290064,0.014834769,1.10E-06,0.043213917,0.101366212,1.074967109,1.044161235,1.106681847,5.37E-06,P4HA2
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Skin_Not_Sun_Exposed_Suprapubic,Wald ratio,1,0.034784281,0.00838915,3.38E-05,0.018341547,0.051227016,1.03539633,1.018510786,1.052561814,0.00011261,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,STXBP4_Artery_Coronary,Wald ratio,1,0.067405976,0.012938608,1.89E-07,0.042046304,0.092765648,1.069729675,1.04294277,1.097204574,1.09E-06,STXBP4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,P4HA2_Esophagus_Muscularis,Wald ratio,1,0.119979793,0.027965215,1.78E-05,0.065167972,0.174791614,1.127474068,1.067338292,1.190998003,6.71E-05,P4HA2
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,ATG10_Adipose_Visceral_Omentum,Wald ratio,1,-0.057946461,0.008377802,4.62E-12,-0.074366952,-0.04152597,0.943700471,0.928330978,0.959324421,5.10E-11,ATG10
